stdev,mse,kpPred,tauPred,thetaPred,kpTrue,tauTrue,thetaTrue
0.0,0.5944467586315979,9.25382137298584,6.011072158813477,8.596686363220215,9.272727272727273,6.181818181818182,8.545454545454547
0.0,14.289272764499511,10.011420249938965,5.411972999572754,6.350516319274902,10.0,5.636363636363637,6.090909090909091
0.0,0.20903370449178665,3.026231288909912,4.526010990142822,5.62910270690918,3.0,4.545454545454545,5.7272727272727275
0.0,0.045453594908538696,1.2614753246307373,8.974661827087402,9.695435523986816,1.2727272727272727,9.272727272727273,9.818181818181818
0.0,13.192407612727342,8.772255897521973,1.943737506866455,1.12905752658844,8.818181818181818,1.9090909090909092,1.2727272727272727
0.0,0.6713200830064835,8.430286407470703,4.724501609802246,1.2219864130020142,8.545454545454547,4.7272727272727275,1.1818181818181819
0.0,0.15321443277992605,7.41562557220459,2.881852149963379,1.3916295766830444,7.454545454545455,2.909090909090909,1.3636363636363638
0.0,2.4461504798785696,9.542997360229492,8.578034400939941,6.619056701660156,9.545454545454545,9.0,6.454545454545455
0.0,3.5623405046336964,5.922811031341553,5.919023513793945,6.591882228851318,6.0,6.090909090909091,6.818181818181818
0.0,0.4767634363605133,2.296483278274536,3.042952299118042,5.517723083496094,2.3636363636363638,3.090909090909091,5.636363636363637
0.0,0.13259398219517723,1.970375895500183,2.579238176345825,1.8512464761734009,2.0,2.6363636363636367,1.9090909090909092
0.0,1.8150290970118186,2.5942933559417725,1.9256176948547363,4.6896772384643555,2.6363636363636367,2.0,4.454545454545455
0.0,2.6909568756092934,9.01113510131836,6.570018768310547,8.683247566223145,9.090909090909092,6.7272727272727275,8.454545454545455
0.0,0.33069142711502353,5.456113815307617,1.270437240600586,4.432947158813477,5.454545454545455,1.2727272727272727,4.454545454545455
0.0,1.511792283571565,6.725006103515625,2.2479307651519775,7.115725994110107,6.7272727272727275,2.2727272727272725,7.181818181818182
0.0,0.5640629585951423,3.795001983642578,4.877823829650879,4.241289138793945,3.8181818181818183,4.909090909090909,4.363636363636363
0.0,0.801442460540489,8.50835132598877,6.94467830657959,6.02647066116333,8.545454545454547,7.0,5.909090909090909
0.0,1.6713281985141055,5.797272205352783,2.578368902206421,8.845492362976074,5.818181818181818,2.7272727272727275,8.90909090909091
0.0,0.61950077677938,2.2539732456207275,1.526840329170227,2.4545462131500244,2.2727272727272725,1.5454545454545454,2.3636363636363638
0.0,2.6617962992932185,8.751739501953125,5.1213579177856445,3.0885491371154785,8.545454545454547,5.181818181818182,3.0
0.0,0.7465424419117132,6.5078535079956055,4.4481401443481445,4.107816219329834,6.454545454545455,4.454545454545455,4.181818181818182
0.0,12.242821937478897,9.078681945800781,1.5535515546798706,5.606872081756592,9.090909090909092,1.5454545454545454,5.454545454545455
0.0,0.207298915850516,4.350766181945801,6.145083427429199,8.194804191589355,4.363636363636363,6.181818181818182,8.272727272727273
0.0,23.57112901475851,10.031757354736328,3.0637006759643555,8.174307823181152,10.0,3.1818181818181817,8.363636363636363
0.0,39.09013937974873,6.66065788269043,1.438830852508545,9.120735168457031,6.636363636363637,1.4545454545454546,9.454545454545455
0.0,3.1389532710986128,1.8503881692886353,1.1933547258377075,6.604130744934082,1.9090909090909092,1.0909090909090908,7.0
0.0,0.03877512572620365,5.726518154144287,4.701033115386963,5.031219482421875,5.7272727272727275,4.7272727272727275,5.0
0.0,347.7620182873112,9.685859680175781,0.9578602313995361,8.228294372558594,9.727272727272727,1.0,7.636363636363637
0.0,0.4579518726193234,6.788958549499512,8.219097137451172,5.375322341918945,6.818181818181818,8.363636363636363,5.454545454545455
0.0,0.06983150893447908,1.5525697469711304,6.298093795776367,3.5263020992279053,1.5454545454545454,6.545454545454546,3.5454545454545454
0.0,0.6664812910985447,7.673562049865723,1.4701001644134521,6.381034851074219,7.7272727272727275,1.4545454545454546,6.363636363636364
0.0,0.4943428823981097,5.6753950119018555,4.2138214111328125,4.132277965545654,5.7272727272727275,4.272727272727273,4.181818181818182
0.0,9.257068035112383,7.663147926330566,8.586376190185547,4.536604881286621,7.7272727272727275,8.727272727272727,4.090909090909091
0.0,8.749791879801457,5.8608012199401855,2.0848937034606934,8.862561225891113,5.909090909090909,2.090909090909091,8.636363636363637
0.0,0.6995359102943346,5.0766496658325195,8.777580261230469,7.94133186340332,5.090909090909091,8.90909090909091,8.09090909090909
0.0,0.0286035199410785,4.929892539978027,4.355317115783691,7.729990482330322,4.909090909090909,4.363636363636363,7.7272727272727275
0.0,0.2875600134491022,7.393195152282715,5.913078308105469,2.333860158920288,7.454545454545455,6.0,2.3636363636363638
0.0,0.17069268836088483,9.750028610229492,3.692596673965454,8.464841842651367,9.727272727272727,3.7272727272727275,8.454545454545455
0.0,6.750856017145155,7.918885231018066,3.148926019668579,5.651689529418945,8.0,3.1818181818181817,5.818181818181818
0.0,21.91912258484209,8.949418067932129,2.6046640872955322,2.424959659576416,9.0,2.7272727272727275,2.1818181818181817
