kpPred,tauPred,kpTrue,tauTrue
3.9513168334960938,6.5629167556762695,3.932330827067669,6.1879699248120295
8.627057075500488,2.0248870849609375,8.736842105263158,1.8571428571428572
9.912209510803223,6.767276763916016,9.796992481203008,6.909774436090225
4.030301570892334,9.411727905273438,4.518796992481203,9.887218045112782
2.5407724380493164,8.167974472045898,2.781954887218045,7.81203007518797
3.161588430404663,7.4386067390441895,3.2105263157894735,7.06766917293233
2.307032585144043,6.155526161193848,2.3308270676691727,5.984962406015037
5.229464530944824,6.9135541915893555,5.195488721804511,6.481203007518797
3.5625414848327637,1.3327059745788574,3.7969924812030076,1.6090225563909775
5.253689289093018,7.292809963226318,5.7368421052631575,7.428571428571428
7.225661277770996,7.191317081451416,7.2255639097744355,7.7218045112781954
2.47422456741333,7.981993675231934,2.781954887218045,7.744360902255639
3.8339385986328125,8.520236015319824,3.9097744360902253,8.827067669172932
9.286563873291016,5.175808906555176,9.052631578947368,5.037593984962406
1.4061092138290405,9.094594955444336,1.0,7.81203007518797
7.049434185028076,7.767938613891602,6.819548872180451,7.609022556390977
9.185301780700684,7.865642547607422,9.481203007518797,7.56390977443609
1.941340684890747,3.9370875358581543,1.9924812030075187,4.428571428571429
4.858096122741699,9.062983512878418,5.849624060150376,9.68421052631579
4.712053298950195,2.4010469913482666,4.112781954887218,2.533834586466165
1.7863717079162598,3.1503427028656006,1.6766917293233083,3.2105263157894735
3.890998363494873,3.48311448097229,3.932330827067669,3.706766917293233
5.650292873382568,7.701601982116699,5.2180451127819545,6.774436090225564
8.585956573486328,4.571761131286621,8.849624060150376,4.789473684210526
6.911498069763184,2.389902353286743,6.864661654135338,2.7368421052631575
4.5319366455078125,6.777318000793457,4.7443609022556394,6.954887218045112
2.5372087955474854,3.363046884536743,2.488721804511278,3.481203007518797
4.7397918701171875,2.6391541957855225,4.902255639097744,2.6917293233082704
1.745363712310791,5.976687431335449,1.5639097744360901,5.12781954887218
2.8630199432373047,4.062999248504639,2.894736842105263,4.090225563909774
7.434841156005859,1.731977105140686,7.383458646616541,1.6541353383458646
4.645752429962158,7.33126974105835,5.330827067669173,7.2481203007518795
3.2022628784179688,2.0604617595672607,3.2781954887218046,1.8345864661654134
3.3666696548461914,6.009313583374023,4.06766917293233,6.75187969924812
4.575335502624512,8.495321273803711,5.015037593984962,8.556390977443609
0.7863402962684631,8.455466270446777,1.0,8.962406015037594
9.761401176452637,8.087760925292969,9.774436090225564,7.2481203007518795
4.030150890350342,2.9644689559936523,3.9097744360902253,2.917293233082707
9.323220252990723,1.8245338201522827,9.368421052631579,1.4962406015037595
2.2750678062438965,1.9784071445465088,2.556390977443609,1.7669172932330826
9.492494583129883,4.836247444152832,9.368421052631579,5.082706766917293
1.2339311838150024,6.5025248527526855,1.3609022556390977,9.165413533834586
8.151735305786133,7.034295082092285,8.714285714285714,7.045112781954887
8.424783706665039,6.254616737365723,7.654135338345864,6.323308270676692
7.424018383026123,9.18708610534668,7.496240601503759,8.781954887218046
1.6703697443008423,5.899862766265869,1.9924812030075187,6.2105263157894735
7.999926567077637,1.7361266613006592,7.7669172932330826,2.2406015037593985
1.7512288093566895,7.711592674255371,2.3308270676691727,6.2781954887218046
